Index,Item,Type,Actuals_24_25,Budget_25_26,Revised_25_26,Budget_26_27,Percent_Change
1,वेतन,राजस्व,4233092.26,5926306.19,4797255.18,5836307.2,-1.52
2,मजदूरी,राजस्व,304259.66,357606.19,357618.88,360880.43,0.92
3,महंगाई भत्ता,राजस्व,2169765.97,3551395.46,2873755.36,3784154.79,6.55
4,यात्रा व्यय,राजस्व,121783.67,120013.99,120396.09,149500.98,24.57
5,नन्तरण यात्रा व्यय,राजस्व,13089.64,9993.84,10043.84,10670.77,6.77
6,अन्य भत्ते,राजस्व,131130.65,184098.73,154007.57,212890.89,15.64
7,मानदेय,राजस्व,92769.42,126397.29,126416.29,178520.36,41.24
8,कार्यालय व्यय,राजस्व,70274.12,51821.78,52019.13,122633.88,136.65
9,विद्युत देय,राजस्व,298330.55,369585.22,369753.22,424981.02,14.99
10,जलकर / जल प्रभार,राजस्व,11049.14,13708.65,13708.65,13538.49,-1.24
11,"लख- न समेंग्री"" और फामेंB 3का"" छपुई",राजस्व,14250.71,14089.97,14217.47,18103.77,28.49
12,कायल& य फानDचर एव 3उपुकारण,राजस्व,24844.87,29078.54,29696.69,29967.14,3.06
12,कायल& य फानDचर एव 3उपुकारण,पूँजी,2426.38,2854.01,3163.94,3226.94,13.07
13,"ट-ल""फाHन पुर व्यय",राजस्व,10012.76,13791.55,13923.05,15128.57,9.69
14,मेंHटर गविड़ेयI का क्रय,पूँजी,64697.83,78079.4,78600.4,77831.52,-0.32
15,"गविड़ेयI का अनर!#ण और पुट्रो- Hल आविद का"" खर""द",राजस्व,100406.76,105944.47,106494.95,117207.86,10.63
15,"गविड़ेयI का अनर!#ण और पुट्रो- Hल आविद का"" खर""द",पूँजी,12.08,21.83,21.83,23.0,5.36
16,व्यवसवियका त विवशर्ष- सव- ओं का- लिलए भग! तन,राजस्व,93696.09,135467.57,142473.44,159169.12,17.5
16,व्यवसवियका त विवशर्ष- सव- ओं का- लिलए भग! तन,पूँजी,1611.14,7501.0,7501.0,3301.0,-55.99
